Station_Name,Code,Latitude,Longitude
BABHNAN,BV,26.938532,82.50006
BIKKAVOLU,BVL,16.969257,82.031703
BHAVANAGARPARA,BVP,21.77059,72.118462
BALIPARA,BVU,26.819523,92.771595
BANWALI,BWC,29.920814,74.025755
BILWAI,BWI,26.159155,82.664992
BHAWANIPUR KALAN,BWP,27.350099,82.082568
BARWAHA,BWW,22.256273,76.030953
BOKAJAN,BXJ,26.019168,93.779885
BRUNDAMAL,BXQ,21.806614,84.016097
BYADGI,BYD,14.69919,75.489655
BYNDOOR,BYNR,13.87257,74.632507
BYREE,BYY,20.628376,86.035157
BHIMSEN,BZM,26.419468,80.217585
BASAI,BZY,25.142662,78.39399
BHAGA JUNCTION,VAA,23.723455,86.405874
BAVLA,VLA,22.833544,72.36485
BADARPUR,BPB,24.867748,92.559271
BAGHPAT ROAD,BPM,28.960389,77.272282
BALASORE,BLS,21.502109,86.920381
BANDA JUNCTION,BNDA,25.477818,80.334839
BANGALORE CITY,SBC,12.978129,77.568619
BANMANKHI,BNKI,25.885056,87.193526
BARAUT,BTU,29.097352,77.273061
BARGARH ROAD,BRGA,21.347064,83.632386
BAROG,BOF,30.908116,77.081223
BATHINDA JUNCTION,BTI,30.210384,74.93293
BELGAUM,BGM,15.849976,74.508834
BHADOHI,BOY,25.395676,82.558472
BHARUCH,BH,21.710227,72.998285
BHAVNAGAR,BVC,21.782197,72.141248
BHIND,BIX,26.591904,78.777409
BHUBANESWAR,BBS,20.272503,85.84362
BIJNOR,BJO,29.386662,78.147376
BINNAGURI,BNV,26.74814,89.052758
BOKARO STEEL CITY,BKSC,23.785698,85.875785
BRAHMAPURI,BMP,19.329287,84.797516
BUXAR,BXR,25.561568,83.981549
BALIA KHERI,BAE,29.929275,77.633586
BANKA,BAKA,24.867515,86.912913
BAITALPUR,BALR,26.555365,83.738422
BANI,BANI,26.23334,81.610944
BAR,BAR,26.061101,74.128847
BIBINAGAR,BB,17.47107,78.794582
BARUA BAMUNGAON,BBGN,26.669282,93.983442
BALABHADRAPURAM,BBPM,16.966379,82.00053
BODARWAR,BBW,26.886555,83.64006
BERCHHA,BCH,23.283099,76.334592
BACHHRAWAN,BCN,26.489011,81.106338
BARACHAK,BCQ,23.707174,86.928567
BHEDIA,BDH,23.586761,87.712004
BUDHI,BDHY,32.441118,75.433574
BHODWAL MAJRI,BDMJ,29.185512,77.008127
BYADARAHALLI,BDRL,12.501862,76.751933
BADHWABARA,BDWA,23.294412,81.286883
BUDDIREDDIPPATI,BDY,12.045532,78.312839
BHUPDEOPUR,BEF,21.975146,83.260378
BIHAR SHARIF,BEHS,25.203155,85.539418
BELUR,BEQ,22.635996,88.339816
BHALUI,BFM,25.102933,86.157095
BAGALIA,BGA,23.447479,86.518897
BAGHAULI,BGH,27.321774,80.19605
BORGAON,BGN,20.727378,77.136698
BEGUSARAI,BGS,25.425447,86.133828
BAIRAGNIA,BGU,26.737524,85.276043
BAGRISAJJANPUR,BGX,25.903549,73.80116
BHATTON KI GALI,BHG,27.10536,75.712695
BEHULA,BHLA,23.180941,88.428973
BHONE,BHNE,21.020098,75.211959
BHANWARTONK,BHTK,22.608474,81.898322
BHANDU MOTIDAU,BHU,23.699825,72.391183
BECHHIWARA,BHWA,23.78778,73.535264
BICHIA,BIC,28.30644,81.154007
